Candidate,Party
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-1.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xLmpwZyIsImlhdCI6MTc3NDY0NTU3OCwiZXhwIjoxODA2MTgxNTc4fQ.zblYs4LRDPVkhEGVua_o_x81xvevSNcWFNgW1VLJq6E,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Aura%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9BdXJhIEljb24ucG5nIiwiaWF0IjoxNzc0NjQ2MTE5LCJleHAiOjE4MDYxODIxMTl9.jhNjTdYMBOuDWHivIHApicup_Z0P8Bub-CXTK1-GIBI
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-10.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xMC5qcGciLCJpYXQiOjE3NzQ2NDU2MzQsImV4cCI6MTgwNjE4MTYzNH0.eHAtlfGGpGNYc9AQuq8gxljIwvw7bQurmocpxx65OY0,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Bamboo%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9CYW1ib28gSWNvbi5wbmciLCJpYXQiOjE3NzQ2NDYxMjYsImV4cCI6MTgwNjE4MjEyNn0.MGe4RTAJu86JosF3om939TzqqQEaUt0HLC9OkWVPyTc
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-11.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xMS5qcGciLCJpYXQiOjE3NzQ2NDU2NDEsImV4cCI6MTgwNjE4MTY0MX0.05JPSheVvhC43Aa8WxS_v9mmrwgfyPCdd1l-vHcYiEc,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Bookstore%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9Cb29rc3RvcmUgSWNvbi5wbmciLCJpYXQiOjE3NzQ2NDYxMzIsImV4cCI6MTgwNjE4MjEzMn0._NLIBNI_D2XiAeUWWQuauWqG8iV4kMIeq1KVS0AulG0
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-12.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xMi5qcGciLCJpYXQiOjE3NzQ2NDU2NDgsImV4cCI6MTgwNjE4MTY0OH0.EXzSCaFQt74KNM2fLwHUpcYPZT-_2XfYW4hilTW9-VU,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Crona%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9Dcm9uYSBJY29uLnBuZyIsImlhdCI6MTc3NDY0NjEzOSwiZXhwIjoxODA2MTgyMTM5fQ.MCrbvueB-Xo8Dm4n8xjOngliectwMf6OGPPMWvYSkX0
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-13.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xMy5qcGciLCJpYXQiOjE3NzQ2NDU2NTQsImV4cCI6MTgwNjE4MTY1NH0.JSAGzrqoBpL3H3gd1ClDZF6DQM0rJt8blfpoCmPaYp4,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Digice%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9EaWdpY2UgSWNvbi5wbmciLCJpYXQiOjE3NzQ2NDYxNDUsImV4cCI6MTgwNjE4MjE0NX0.ximyrwzPAd6vp1npuK1Jr9hvUz322HBqAg4ZWh-LGZ4
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-13.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xMy5qcGciLCJpYXQiOjE3NzQ2NDU2NjIsImV4cCI6MTgwNjE4MTY2Mn0.Bn8LCfGq1-XQDEkE2yhtl27-k9kx4FGkOx6iJrbocDY,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Flikbox%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9GbGlrYm94IEljb24ucG5nIiwiaWF0IjoxNzc0NjQ2MTQ5LCJleHAiOjE4MDYxODIxNDl9.qKuuWwjzHLq9Y04M1sYWbZMq7MnvYPZtTCuekiaZsHs
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-14.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xNC5qcGciLCJpYXQiOjE3NzQ2NDU2NjgsImV4cCI6MTgwNjE4MTY2OH0.1TkOXginL2aJxH44-vQRwA9UZ1bPPtis3QT6WIdx03w,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Gigs%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9HaWdzIEljb24ucG5nIiwiaWF0IjoxNzc0NjQ2MTU0LCJleHAiOjE4MDYxODIxNTR9.rykVQv2Uj9LKKUY8fOIvEBlZUu2YTccFFuzyTYl5GYo
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-15.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xNS5qcGciLCJpYXQiOjE3NzQ2NDU2NzMsImV4cCI6MTgwNjE4MTY3M30.obiBHWRREmPiniA4yX1iNUmz0w2mRC8Zl2UEaWqxIIE,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Heline%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9IZWxpbmUgSWNvbi5wbmciLCJpYXQiOjE3NzQ2NDYxNzQsImV4cCI6MTgwNjE4MjE3NH0.gqGr3xKU0zBSyeyZbefYH5XPNuG34yEfxAWNCXT3Ezs
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-16.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xNi5qcGciLCJpYXQiOjE3NzQ2NDU2ODEsImV4cCI6MTgwNjE4MTY4MX0.r8B0lwhDKhgyW89Kr44EL0clAy5fzTh9L2hW5YHDyo0,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Logic%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9Mb2dpYyBJY29uLnBuZyIsImlhdCI6MTc3NDY0NjE3OSwiZXhwIjoxODA2MTgyMTc5fQ.XXP8HGmmNsI3rRMiebO6v8hNsQHL2HfttXx9Pwcl2C4
https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/candidates/Image-17.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvY2FuZGlkYXRlcy9JbWFnZS0xNy5qcGciLCJpYXQiOjE3NzQ2NDU2ODYsImV4cCI6MTgwNjE4MTY4Nn0.5tzwonlgC25d4N3yic30qjcgUWx7HzNUyPwWHIew0mg,https://qqoywnidyqyoqjalvcpu.supabase.co/storage/v1/object/sign/election-bucket/parties/Logic%20Icon.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV81MmNlZmY0Mi1iZjdkLTQzMDMtOTA0Ny01MjQwYThjMDJmNDgiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJlbGVjdGlvbi1idWNrZXQvcGFydGllcy9Mb2dpYyBJY29uLnBuZyIsImlhdCI6MTc3NDY0NjE4NSwiZXhwIjoxODA2MTgyMTg1fQ.499KxtpZw2-hALpr9ayg51QKt1AHYPtDNPIK2jQ2BHY
